,CustomerID,MaxPurchaseDate,Recency,Frequency,Monetary_Revenue,FrequencyCluster,RevenueCluster,RecencyCluster,OverallScore,Segment
0,12346.0,2011-01-18 10:17:00,325,2,0.0,0,0,0,0,Low-value
1,12829.0,2011-01-21 12:56:00,321,12,253.05,0,0,0,0,Low-value
2,12831.0,2011-03-22 13:02:00,261,9,215.05,0,0,0,0,Low-value
3,12834.0,2011-03-02 09:49:00,282,18,312.38,0,0,0,0,Low-value
4,12845.0,2011-03-17 13:34:00,266,27,354.09000000000003,0,0,0,0,Low-value
5,12852.0,2011-02-22 14:56:00,289,20,299.75,0,0,0,0,Low-value
6,12855.0,2010-12-02 09:37:00,372,3,38.1,0,0,0,0,Low-value
7,12870.0,2010-12-08 14:27:00,365,2,-14.899999999999999,0,0,0,0,Low-value
8,12872.0,2011-01-17 10:52:00,326,66,599.9699999999998,0,0,0,0,Low-value
9,12873.0,2011-03-02 14:58:00,281,4,374.0,0,0,0,0,Low-value
10,12881.0,2011-03-09 11:44:00,275,7,298.0,0,0,0,0,Low-value
11,12902.0,2011-03-20 12:06:00,264,10,138.68,0,0,0,0,Low-value
12,12943.0,2011-02-11 15:13:00,300,1,-3.75,0,0,0,0,Low-value
13,12945.0,2011-02-24 14:15:00,287,23,462.95000000000005,0,0,0,0,Low-value
14,12956.0,2011-02-06 16:08:00,305,19,108.07,0,0,0,0,Low-value
15,12988.0,2011-02-20 14:31:00,291,92,535.32,0,0,0,0,Low-value
16,13002.0,2011-01-25 15:18:00,317,7,120.94999999999999,0,0,0,0,Low-value
17,13008.0,2011-01-20 14:24:00,322,15,178.47,0,0,0,0,Low-value
18,13011.0,2010-12-02 17:22:00,371,3,50.550000000000004,0,0,0,0,Low-value
19,13033.0,2010-12-17 14:23:00,356,11,190.54999999999998,0,0,0,0,Low-value
20,13043.0,2011-03-31 12:14:00,253,14,471.57000000000005,0,0,0,0,Low-value
21,13044.0,2011-02-21 15:20:00,290,33,560.4700000000001,0,0,0,0,Low-value
